File created on 2015-08-12T11:51:15.053960

#START
2015 03 21 00 00 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 01 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 02 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 03 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 04 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 05 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 06 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 07 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 08 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 09 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 10 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 11 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 12 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 13 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 14 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 15 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 16 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 17 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 18 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 19 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 20 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 21 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 22 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 23 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 24 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 25 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 26 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 27 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 28 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 29 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 30 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 31 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 32 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 33 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 34 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 35 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 36 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 37 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
2015 03 21 00 38 00 000       0.00       0.00      -5.00    -350.00       0.00       0.00       5.00  150000.00
