# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  SWMF-deltaB  
# Run name:   CARR_Scenario1
# Model coordinate system: GEO
# Missing data:          NaN
# Date, time:         2019           9           2  10:00:00
# Output data: field with 201x201=40401 elements
# Lon         Lat         R           dBn       
# R_E         R_E         R!DE!N      nT        
  0.0000E+00 -8.7500E+01  1.0000E+00  3.6970E+01
  1.7950E+00 -8.7500E+01  1.0000E+00  3.9973E+01
  3.5900E+00 -8.7500E+01  1.0000E+00  4.2810E+01
  5.3850E+00 -8.7500E+01  1.0000E+00  4.5515E+01
  7.1800E+00 -8.7500E+01  1.0000E+00  4.8142E+01
  8.9750E+00 -8.7500E+01  1.0000E+00  5.0753E+01
  1.0770E+01 -8.7500E+01  1.0000E+00  5.3412E+01
  1.2565E+01 -8.7500E+01  1.0000E+00  5.6156E+01
  1.4360E+01 -8.7500E+01  1.0000E+00  5.8992E+01
  1.6155E+01 -8.7500E+01  1.0000E+00  6.1906E+01
  1.7950E+01 -8.7500E+01  1.0000E+00  6.4858E+01
  1.9745E+01 -8.7500E+01  1.0000E+00  6.7793E+01
  2.1540E+01 -8.7500E+01  1.0000E+00  7.0659E+01
  2.3335E+01 -8.7500E+01  1.0000E+00  7.3422E+01
  2.5130E+01 -8.7500E+01  1.0000E+00  7.6067E+01
  2.6925E+01 -8.7500E+01  1.0000E+00  7.8604E+01
  2.8720E+01 -8.7500E+01  1.0000E+00  8.1068E+01
  3.0515E+01 -8.7500E+01  1.0000E+00  8.3511E+01
  3.2310E+01 -8.7500E+01  1.0000E+00  8.5982E+01
  3.4105E+01 -8.7500E+01  1.0000E+00  8.8523E+01
  3.5900E+01 -8.7500E+01  1.0000E+00  9.1169E+01
  3.7695E+01 -8.7500E+01  1.0000E+00  9.3930E+01
  3.9490E+01 -8.7500E+01  1.0000E+00  9.6794E+01
  4.1285E+01 -8.7500E+01  1.0000E+00  9.9739E+01
  4.3080E+01 -8.7500E+01  1.0000E+00  1.0273E+02
  4.4875E+01 -8.7500E+01  1.0000E+00  1.0574E+02
  4.6670E+01 -8.7500E+01  1.0000E+00  1.0872E+02
  4.8465E+01 -8.7500E+01  1.0000E+00  1.1167E+02
  5.0260E+01 -8.7500E+01  1.0000E+00  1.1455E+02
  5.2055E+01 -8.7500E+01  1.0000E+00  1.1738E+02
  5.3850E+01 -8.7500E+01  1.0000E+00  1.2013E+02
